唉	āi	alas
胜利	shènglì	victory
失去	shīqù	lose
失业	shīyè	unemployment
湿润	shīrùn	moist
时差	shíchā	time difference
时刻	shíkè	time
时期	shíqī	period
实话	shíhuà	the truth
实践	shíjiàn	practice
实现	shíxiàn	realization
实用	shíyòng	practical
食物	shíwù	food
士兵	shìbīng	soldiers
似的	shìde	likely
事实	shìshí	fact
事先	shìxiān	prior
收获	shōuhuò	harvest
手套	shǒutào	glove
手指	shǒuzhǐ	finger
蔬菜	shūcài	vegetables
舒适	shūshì	comfortable
梳子	shūzi	comb
属于	shǔyú	belong to
数	shǔ	to count
甩	shuǎi	rejection
说不定	shuōbudìng	maybe
撕	sī	tear
丝毫	sīháo	a bit
思考	sīkǎo	reflection
私人	sīrén	private
搜索	sōusuǒ	search
宿舍	sùshè	dormitory
随时	suíshí	at any time
随手	suíshǒu	readily
缩短	suōduǎn	shorten
所	suǒ	place
太太	tàitai	ma'am
谈判	tánpàn	negotiation
坦率	tǎnshuài	frank
烫	tàng	hot
桃	táo	peach
逃避	táobì	escape
特殊	tèshū	special
特征	tèzhēng	features
疼爱	téng'ài	love dearly
提纲	tígāng	outline
提问	tíwèn	put questions to
体会	tǐhuì	experience
体现	tǐxiàn	reflect
调皮	tiáopí	naughty
挑战	tiǎozhàn	challenge
痛苦	tòngkǔ	pain
投入	tóurù	put into
透明	tòumíng	transparent
土地	tǔdì	land
吐	tǔ	spit
团	tuán	group
推广	tuīguǎng	extension
退步	tuìbù	backward
歪	wāi	crooked
外交	wàijiāo	international relations
完美	wánměi	perfect
完善	wánshàn	perfect
王子	wángzǐ	prince
往返	wǎngfǎn	return
网络	wǎngluò	network
危害	wēihài	harm
微笑	wēixiào	smile
违反	wéifǎn	violation
围巾	wéijīn	scarf
唯一	wéiyī	only
伟大	wěidà	great
胃口	wèikǒu	appetite
位置	wèizhì	position
未来	wèilái	future
温暖	wēnnuǎn	warm
闻	wén	smell
文件	wénjiàn	file
文明	wénmíng	civilization
文字	wénzì	writing, character
吻	wěn	kiss
握手	wòshǒu	handshake
屋子	wūzi	house
无奈	wúnài	have no choice
无所谓	wúsuǒwèi	cannot be designated as
武术	wǔshù	a martial art
雾	wù	fog
物理	wùlǐ	physics
吸收	xīshōu	absorb
系	xì	department
细节	xìjié	details
瞎	xiā	blind
鲜艳	xiānyàn	colorful
显得	xiǎnde	appear, seem
显示	xiǎnshì	display
现代	xiàndài	modern
现实	xiànshí	reality
限制	xiànzhì	limit
相处	xiāngchǔ	get along with
相对	xiāngduì	relative
相关	xiāngguān	correlate
想象	xiǎngxiàng	imagine
项	xiàng	term
项目	xiàngmù	project
象棋	xiàngqí	xiangqi
消费	xiāofèi	consumption
消化	xiāohuà	digestion
销售	xiāoshòu	sale
小麦	xiǎomài	wheat
效率	xiàolǜ	efficiency
歇	xiē	rest
欣赏	xīnshǎng	appreciate
信号	xìnhào	signal
行动	xíngdòng	get some action
行人	xíngrén	pedestrian
形成	xíngchéng	formation
形式	xíngshì	form
形象	xíngxiàng	image
性质	xìngzhì	nature
幸亏	xìngkuī	thanks
胸	xiōng	chest
修改	xiūgǎi	modify
休闲	xiūxián	leisure time
叙述	xùshù	narration
宣传	xuānchuán	propaganda
学历	xuélì	education degree
学问	xuéwen	knowledge
血	xuè	blood
寻找	xúnzhǎo	seek, look for
迅速	xùnsù	rapid
延长	yáncháng	extend
严肃	yánsù	serious
演讲	yǎnjiǎng	speech
阳台	yángtái	balcony
摇	yáo	shake
要不	yàobù	or
业务	yèwù	business
一辈子	yíbèizi	a lifetime
一律	yílǜ	all and singular
移动	yídòng	move
遗憾	yíhàn	pity
乙	yǐ	second; second heavenly stem
以及	yǐjí	as well as
亿	yì	billion
意义	yìyì	significance
因而	yīn'ér	thus
银	yín	silver
印刷	yìnshuā	printing
英雄	yīngxióng	hero
迎接	yíngjiē	meet, welcome
营业	yíngyè	do business
影子	yǐngzi	shadow
硬件	yìngjiàn	hardware
拥抱	yōngbào	embrace
用途	yòngtú	purpose
优美	yōuměi	graceful
游览	yóulǎn	visit
犹豫	yóuyù	hesitate
幼儿园	yòu'éryuán	kindergarten
与其	yǔqí	rather than
语气	yǔqì	tone
预订	yùdìng	book; subscribe for
玉米	yùmǐ	corn
原料	yuánliào	raw material
原则	yuánzé	principle
乐器	yuèqì	instrument
运输	yùnshū	transport
在于	zàiyú	rest with
赞美	zànměi	praise
则	zé	be
摘	zhāi	pick
粘贴	zhāntiē	paste
展览	zhǎnlǎn	exhibition
占	zhàn	occupy
战争	zhànzhēng	war
长辈	zhǎngbèi	elder
涨	zhǎng	rise
招待	zhāodài	entertain
着火	zháohuǒ	on fire
着凉	zháoliáng	get cold
召开	zhàokāi	convene
照常	zhàocháng	as usual
哲学	zhéxué	philosophy
真实	zhēnshí	real
针对	zhēnduì	aim at
诊断	zhěnduàn	diagnosis
振动	zhèndòng	vibration
争论	zhēnglùn	debate
征求	zhēngqiú	ask for
整体	zhěngtǐ	whole
政治	zhèngzhì	politics
证据	zhèngjù	evidence
挣	zhèng	earn, make
直	zhí	straight
执照	zhízhào	license
指挥	zhǐhuī	command
制度	zhìdù	system
制作	zhìzuò	make
至今	zhìjīn	so far
至于	zhìyú	as for
治疗	zhìliáo	treatment
志愿者	zhìyuànzhě	volunteer
中心	zhōngxīn	core
种类	zhǒnglèi	type
重大	zhòngdà	significant
重量	zhòngliàng	weight
猪	zhū	pig
逐渐	zhújiàn	gradually
煮	zhǔ	cook
主动	zhǔdòng	active
主人	zhǔrén	master
主席	zhǔxí	chairman
主张	zhǔzhāng	opinion
祝福	zhùfú	blessing
注册	zhùcè	register
抓紧	zhuājǐn	pay close attention to, grasp
转变	zhuǎnbiàn	change
装饰	zhuāngshì	decorate
撞	zhuàng	hit
状态	zhuàngtài	state
追求	zhuīqiú	pursuit
资金	zījīn	capital
资源	zīyuán	resources
咨询	zīxún	consultation
字母	zìmǔ	letter
自从	zìcóng	since
自豪	zìháo	proud
自觉	zìjué	conscious
自私	zìsī	selfish
自愿	zìyuàn	voluntarily
总裁	zǒngcái	CEO
总统	zǒngtǒng	president
组	zǔ	group
组合	zǔhé	combination
阻止	zǔzhǐ	prevent
醉	zuì	drunk
最初	zuìchū	first, at the beginning
尊敬	zūnjìng	respect
遵守	zūnshǒu	comply with
作品	zuòpǐn	works
作为	zuòwéi	as
