安慰	ānwèi	comfort
也好	yě hǎo	may as well; no matter whether
业务	yèwù	business
夜间	yè jiān	nighttime; at night
一流	yīliú	first-class
依法	yī fǎ	according to the law; legal
依旧	yījiù	still
依据	yījù	basis
依照	yī zhào	according to; in the light of:
一辈子	yíbèizi	a lifetime
一带	yí dài	area; surroundings; region; district
一旦	yídàn	once; in case
一句话	yí jù huà	in a word; in short; one sentence
一路	yí lù	all the way; take the same route
一下儿（副）	yí xiàr	a little bit; a little while
一下子	yí xià zi	all of a sudden; all at once; for a while
一向	yíxiàng	always
乙	yǐ	second; second heavenly stem
以便	yǐbiàn	so that
以往	yǐwǎng	past
一口气	yì kǒu qì	one breath; in one breath
一身	yì shēn	the whole body; all over the body
意识	yìshí	consciousness
意味着	yìwèizhe	signify
意志	yìzhì	will
因而	yīn'ér	thus
饮料	yǐnliào	drinks
饮食	yǐnshí	diet
印刷	yìnshuā	printing
应	yīng	answer; respond; agree; should; ought to
硬	yìng	hard
硬件	yìngjiàn	hardware
拥抱	yōngbào	embrace
拥有	yōngyǒu	have
用不着	yòng bù zháo	no need; have no use for
用户	yònghù	user
用来	yòng lái	be used for; used to
用于	yòng yú	use for; used in; use on
优惠	yōuhuì	preferential; favorable
优先	yōuxiān	first
幽默	yōumò	humor
尤其	yóuqí	especially
由此	yóu cǐ	from this; therefrom; thus
犹豫	yóuyù	hesitate
游泳池	yóu yǒng chí	swimming pool
友谊	yǒuyì	friendship
有毒	yǒu dú	poisonous; venomous
有害	yǒu hài	harmful; pernicious; detrimental
有力	yǒu lì	strong; powerful; forceful; energetic; vigorous
有利于	yǒu lì yú	in favour of; make for; to the benefit of; avail
有着	yǒu zhe	have; possess
羽毛球	yǔmáoqiú	badminton
羽绒服	yǔróngfú	down jackets
雨水	yǔ shuǐ	rainwater; rainfall; rain
预备	yù bèi	prepare; get ready; preparation
预期	yùqī	expect; anticipate
元旦	yuándàn	the New Year's Day
园林	yuánlín	gardens
原理	yuánlǐ	principle
原始	yuánshǐ	original
原先	yuánxiān	original
原有	yuán yǒu	original
远处	yuǎn chù	distance; far away
怨	yuàn	blame ; complain; resentment; enmity
愿	yuàn	will; wish; desire; hope; willing
约束	yuēshù	bind; restrain
月饼	yuè bǐng	moon cake
月球	yuè qiú	moon
阅览室	yuè lǎn shì	reading room
运	yùn	transport; luck; fortune; carry; move; wield
运行	yùnxíng	run; working
灾	zāi	disaster; calamity; adversity; personal misfortune
灾害	zāihài	disaster
灾难	zāinàn	disaster
灾区	zāi qū	disaster area
再次	zài cì	once more; once again; one more time
再也	zài yě	never; anymore; no longer
在场	zài chǎng	be on the scene; be on the spot
在内	zài nèi	including; inside; internally
暂时	zànshí	temporary
暂停	zàn tíng	pause; suspend; time out
糟	zāo	dregs; waste; spoil; bad; in a mess
糟糕	zāogāo	terrible
早期	zǎo qī	early phase; early stage
增	zēng	increase; gain; add; expand
增产	zēng chǎn	increase production
增大	zēng dà	enlargement; magnify; increase
增多	zēng duō	increase; grow in number
增强	zēng qiáng	strengthen; enhance; heighten
赠	zèng	give as a present; present as a gift
赠送	zèngsòng	give
摘	zhāi	pick
展览	zhǎnlǎn	exhibition
展示	zhǎnshì	exhibit
展现	zhǎnxiàn	to show
占领	zhànlǐng	occupy
占有	zhàn yǒu	own; possess; have; occupy; hold; having
涨	zhǎng	rise
涨价	zhǎng jià	rise in price; inflation of prices; mark up
掌握	zhǎngwò	master
招生	zhāo shēng	enroll new students; recruit students
招手	zhāo shǒu	beckon; wave; beck
珍贵	zhēnguì	precious
珍惜	zhēnxī	cherish
珍珠	zhēnzhū	pearl
真诚	zhēn chéng	sincere; genuine; true; genuineness
真理	zhēnlǐ	truth
真相	zhēnxiàng	fact; truth
诊断	zhěnduàn	diagnosis
振动	zhèndòng	vibration
震惊	zhènjīng	shock
争议	zhēngyì	dispute
正版	zhèng bǎn	genuine; legal copy
正规	zhèngguī	regular
正如	zhèng rú	just as; exactly as
正义	zhèngyì	justice
证实	zhèngshí	confirm
证书	zhèngshū	certificate
挣	zhèng	earn, make
挣钱	zhèng qián	make money; earn money
之内	zhī nèi	in; within
之外	zhī wài	outside; except
之下	zhī xià	under
之中	zhī zhōng	in; in the midst of; among
支出	zhīchū	payout; expend
支配	zhīpèi	control
执行	zhíxíng	implement
直线	zhí xiàn	straight line
值班	zhíbān	be on duty
职能	zhínéng	function
职位	zhíwèi	position
职务	zhíwù	post
只不过	zhǐ bú guò	only; just; merely
只见	zhǐ jiàn	only see; see
指标	zhǐbiāo	index
指甲	zhǐjia	nail
指示	zhǐshì	instructions
指责	zhǐzé	accuse
至	zhì	to; till; until; extremely
制成	zhì chéng	make into; be made from
制约	zhìyuē	restrict
治安	zhì'ān	public security
治理	zhìlǐ	government
中断	zhōngduàn	interrupt
中秋节	zhōng qiū jié	Mid-Autumn Festival
中央	zhōngyāng	center
中药	zhōng yào	traditional Chinese medicine
终点	zhōngdiǎn	end
终身	zhōngshēn	lifelong
终止	zhōngzhǐ	termination
中毒	zhòng dú	poisoning; be poisoned
众多	zhòng duō	multitudinous; numerous; many
周期	zhōuqī	period cycle
竹子	zhúzi	bamboo
主办	zhǔbàn	host
主导	zhǔdǎo	leading
主观	zhǔguān	subjective
主管	zhǔguǎn	executive director
主体	zhǔ tǐ	main body; main part; principal part; subject
助理	zhùlǐ	assistant
助手	zhùshǒu	assistant
注册	zhùcè	register
注射	zhùshè	injection
注视	zhùshì	gaze
注重	zhùzhòng	pay attention to
祝贺	zhùhè	congratulate
专辑	zhuān jí	album
专利	zhuānlì	patent
转化	zhuǎn huà	change; transform
转换	zhuǎn huàn	conversion; change; transform; convert
转让	zhuǎnràng	make over; transfer
转向	zhuǎn xiàng	turn to; sheer off; change direction
装饰	zhuāngshì	decorate
撞	zhuàng	hit
资本	zīběn	capital
资产	zīchǎn	capital; asset
资助	zīzhù	give financial aid
子弹	zǐdàn	bullet
仔细	zǐxì	careful
紫	zǐ	purple
自豪	zìháo	proud
自杀	zì shā	suicide; commit suicide
自愿	zìyuàn	voluntarily
总裁	zǒngcái	CEO
总数	zǒng shù	tote; sum; totality
总算	zǒngsuàn	finally
总体	zǒng tǐ	overall; total; entire; totality
阻碍	zǔ'ài	hinder
组织	zǔzhī	organization
醉	zuì	drunk
尊敬	zūnjìng	respect
尊重	zūnzhòng	respect
遵守	zūnshǒu	comply with
