挨	ái	next to
杰出	jiéchū	outstanding
结晶	jiéjīng	result; finale
结局	jiéjú	ending
结算	jiésuàn	settlement
竭尽全力	jiéjìnquánlì	strain every nerve
截至	jiézhì	by (time）
截止	jiézhǐ	due
解除	jiěchú	relieve
解放	jiěfàng	liberate
解雇	jiěgù	fire
解剖	jiěpōu	anatomy
解散	jiěsàn	dissolution
解体	jiětǐ	disintegrate
借鉴	jièjiàn	take example by
借助	jièzhù	with the help of
戒备	jièbèi	alert
界限	jièxiàn	limit
津津有味	jīnjīnyǒuwèi	eat with appetite
金融	jīnróng	finance
紧迫	jǐnpò	urgent
锦上添花	jǐnshàngtiānhuā	icing on the cake
进而	jìn'ér	and then
进攻	jìngōng	attack
进化	jìnhuà	evolution
进展	jìnzhǎn	evolve; get along
近来	jìnlái	recently
浸泡	jìnpào	soak
晋升	jìnshēng	promotion
茎	jīng	stalk; stem
精打细算	jīngdǎxìsuàn	pinch pennies
精华	jīnghuá	elite; distillate
精简	jīngjiǎn	simplify; condense
精密	jīngmì	exact; close
精确	jīngquè	accurate; exact
精通	jīngtōng	master, be good at
精心	jīngxīn	elaborate
精益求精	jīngyìqiújīng	keep improving
精致	jīngzhì	delicate
经费	jīngfèi	funds
经纬	jīngwěi	longitude and latitude
惊动	jīngdòng	disturb
惊奇	jīngqí	be surprised
惊讶	jīngyà	surprised
兢兢业业	jīngjīngyèyè	cautious and conscientious
井	jǐng	well
警告	jǐnggào	warning
警惕	jǐngtì	be vigilant
颈椎	jǐngzhuī	cervical vertebra
敬礼	jìnglǐ	salute
敬业	jìngyè	dedication (work)
境界	jìngjiè	realm; extent reached
竞赛	jìngsài	competition
竞选	jìngxuǎn	campaign for
镜头	jìngtóu	camera lens
纠纷	jiūfēn	dissension; tangle
纠正	jiūzhèng	correct
酒精	jiǔjīng	alcohol
救济	jiùjì	redress; relief
就近	jiùjìn	nearby
就业	jiùyè	take up an occupation
就职	jiùzhí	inauguration
鞠躬	jūgōng	bow
拘留	jūliú	detain
拘束	jūshù	constrained; ill at ease
居民	jūmín	residents
居住	jūzhù	live
局部	júbù	local
局面	júmiàn	situation
局势	júshì	situation
局限	júxiàn	limit; confine
举动	jǔdòng	move
举世瞩目	jǔshìzhǔmù	attract worldwide attention
举足轻重	jǔzúqīngzhòng	play a decisive role
咀嚼	jǔjué	chew
沮丧	jǔsàng	depressed
剧本	jùběn	script
剧烈	jùliè	severe
聚精会神	jùjīnghuìshén	concentrate one's attention on
据悉	jùxī	it is reported
卷	juàn	volume
决策	juécè	make policy
觉悟	juéwù	consciousness
觉醒	juéxǐng	rouse; awake
绝望	juéwàng	despair
倔强	juéjiàng	stubborn
军队	jūnduì	army
君子	jūnzǐ	gentleman
卡通	kǎtōng	cartoon
开采	kāicǎi	exploit (mine)
开除	kāichú	expel
开阔	kāikuò	open
开朗	kāilǎng	optimistic
开明	kāimíng	enlightened
开辟	kāipì	open up
开拓	kāituò	open up; exploit
开展	kāizhǎn	develop
开支	kāizhī	expenditure
刊登	kāndēng	publish in a newspaper
刊物	kānwù	publication
勘探	kāntàn	prospect for; prove up
砍伐	kǎnfá	lop
侃侃而谈	kǎnkǎn ér tán	chatting
看待	kàndài	to view
慷慨	kāngkǎi	generous
扛	káng	carry
抗议	kàngyì	protest
考察	kǎochá	investigate
考古	kǎogǔ	archaeology
考核	kǎohé	examine; assess
考验	kǎoyàn	test
靠拢	kàolǒng	close to
磕	kē	knock
科目	kēmù	subject
渴望	kěwàng	yearn
可观	kěguān	considerable
可口	kěkǒu	delicious
可恶	kěwù	loathsome; hateful
可行	kěxíng	feasible
刻不容缓	kèbùrónghuǎn	brook no delay
课题	kètí	topic
克制	kèzhì	restrain
客户	kèhù	customer
啃	kěn	bite
恳切	kěnqiè	fair-spoken
坑	kēng	pit
空洞	kōngdòng	empty
空前绝后	kōngqiánjuéhòu	unprecedented
空想	kōngxiǎng	escapism; dream; phantasm
空虚	kōngxū	vain; empty
孔	kǒng	hole
恐怖	kǒngbù	terror
恐吓	kǒnghè	intimidate
恐惧	kǒngjù	fear
空白	kòngbái	blank; vacancy
空隙	kòngxì	interspaced; lacuna
口气	kǒuqì	tone
口腔	kǒuqiāng	mouth; oral cavity
口头	kǒutóu	oral
口音	kǒuyīn	accent
扣	kòu	button
哭泣	kūqì	cry
枯燥	kūzào	boring
枯萎	kūwěi	withered
苦涩	kǔsè	bitter
苦尽甘来	kǔjìngānlái	all sufferings have their reward
挎	kuà	carry on the arm
跨	kuà	cross
快活	kuàihuo	happy
宽敞	kuānchang	spacious; commodious
宽容	kuānróng	tolerant
款待	kuǎndài	entertain
款式	kuǎnshì	style
筐	kuāng	basket
旷课	kuàngkè	absenteeism
框架	kuàngjià	frame
况且	kuàngqiě	moreover
矿产	kuàngchǎn	mineral
亏待	kuīdài	treat
亏损	kuīsǔn	loss
捆绑	kǔnbǎng	binding
扩充	kuòchōng	extend; enlarge
扩散	kuòsàn	spread
扩张	kuòzhāng	expand; outspread
喇叭	lǎba	horn
蜡烛	làzhú	candle
啦	la	contraction of 了啊
来历	láilì	origin
来源	láiyuán	source
栏目	lánmù	column
懒惰	lǎnduò	lazy
狼狈	lángbèi	in sore straits; in a tight corner
狼吞虎咽	lángtūnhǔyàn	devour like a wolf
捞	lāo	fishing
唠叨	láodao	to nag
牢固	láogù	solid
牢骚	láosāo	complain
乐趣	lèqù	pleasure
乐意	lèyì	happy
雷达	léidá	radar
类似	lèisì	similar
冷酷	lěngkù	cool
冷却	lěngquè	cooling
冷落	lěngluò	indiffenrent
愣	lèng	distracted
黎明	límíng	dawn
里程碑	lǐchéngbēi	milepost
礼节	lǐjié	etiquette
礼尚往来	lǐshàngwǎnglái	reci[rocity
理睬	lǐcǎi	acknowledge
理所当然	lǐsuǒdāngrán	go without saying; of course
理直气壮	lǐzhíqìzhuàng	one is assured and bold with justice
理智	lǐzhì	reasonable
粒	lì	grain (measure word)
立场	lìchǎng	position
立方	lìfāng	cube
立交桥	lìjiāoqiáo	overpass
立体	lìtǐ	three-dimensional
立足	lìzú	based on the
历代	lìdài	past dynasties
历来	lìlái	always
利害	lìhài	interest
力所能及	lìsuǒnéngjí	do everything in one's power
力争	lìzhēng	strive to
力求	lìqiú	strive for
例外	lìwài	exception
连年	liánnián	in successive years
连锁	liánsuǒ	chain
连同	liántóng	together with
联欢	liánhuān	gala
联络	liánluò	liaison
联盟	liánméng	union
联想	liánxiǎng	association
廉洁	liánjié	uncorrupted; clean-fingered
良心	liángxīn	conscience
晾	liàng	dry
谅解	liàngjiě	understanding
辽阔	liáokuò	vast
列举	lièjǔ	list
淋	lín	shower
临床	línchuáng	clinical
吝啬	lìnsè	stingy
零星	língxīng	sporadic
凌晨	língchén	before dawn
灵感	línggǎn	inspiration
灵魂	línghún	soul
灵敏	língmǐn	sensitive
伶俐	línglì	clever
领会	lǐnghuì	understand
领事馆	lǐngshìguǎn	consulate
领土	lǐngtǔ	territory
领悟	lǐngwù	understand
领先	lǐngxiān	keep ahead
领袖	lǐngxiù	leader
溜	liū	slip
留恋	liúliàn	be reluctant to leave
留念	liúniàn	as a souvenir
留神	liúshén	watch
流浪	liúlàng	lead a vagrant life; rove; roam about
流露	liúlù	reveal
流氓	liúmáng	rogue
流通	liútōng	circulation
聋哑	lóngyǎ	deaf-mute
隆重	lóngzhòng	ceremonious
垄断	lǒngduàn	monopoly
笼罩	lǒngzhào	shrouded
搂	lǒu	hug
炉灶	lúzào	a kitchen stove
轮船	lúnchuán	ship
轮廓	lúnkuò	outline
轮胎	lúntāi	tyre
论坛	lùntán	forum
论证	lùnzhèng	demonstration
啰唆	luōsuo	troublesome, wordy
落成	luòchéng	completion
落实	luòshí	put into effect
络绎不绝	luòyìbùjué	go and fro in constant streams
屡次	lǚcì	repeatedly
履行	lǚxíng	perform
掠夺	lüèduó	plunder
麻痹	mábì	lull; blunt; paralysis
麻木	mámù	numbness
麻醉	mázuì	narcosis
码头	mǎtóu	wharf
蚂蚁	mǎyǐ	ant
嘛	ma	modal particle indicating that something is obvious
埋伏	máifú	ambush
埋没	máimò	immerse oneself in
埋葬	máizàng	bury
迈	mài	to take a step; to stride
脉搏	màibó	pulse
埋怨	mányuàn	complain
慢性	mànxìng	chronic
漫长	màncháng	very long
漫画	mànhuà	cartoon
蔓延	mànyán	spread; creep
忙碌	mánglù	be busy
茫茫	mángmáng	vast; boundless
茫然	mángrán	blank
盲目	mángmù	blind
冒充	màochōng	posing
冒犯	màofàn	offend
茂盛	màoshèng	lush
枚	méi	measure word for medal
媒介	méijiè	agent; medium
美观	měiguān	beautiful
美满	měimǎn	happy; perfect
美妙	měimiào	wonderful
萌芽	méngyá	bud; sprout
猛烈	měngliè	violent
眯	mī	take a nap
弥补	míbǔ	remedy; offset
弥漫	mímàn	permeate; fill the air
迷惑	míhuò	puzzle; delude
迷人	mírén	charming
迷信	míxìn	superstition
谜语	míyǔ	riddle
密度	mìdù	density
密封	mìfēng	seal up
棉花	miánhua	cotton
免得	miǎndé	lest
免疫	miǎnyì	immune
勉励	miǎnlì	encourage
勉强	miǎnqiǎng	reluctantly
面貌	miànmào	face
面子	miànzi	prestige; face
描绘	miáohuì	describe; portray
瞄准	miáozhǔn	aim 
渺小	miǎoxiǎo	tiny
藐视	miǎoshì	contempt
蔑视	mièshì	disparage; scorn
灭亡	mièwáng	perish
民间	mínjiān	nongovernmental
民主	mínzhǔ	democratic
敏捷	mǐnjié	agile
敏锐	mǐnruì	keen
明明	míngmíng	obviously
明智	míngzhì	wise
名次	míngcì	ranking
名额	míng'é	places
名副其实	míngfùqíshí	be worthy of the name
名誉	míngyù	reputation
命名	mìngmíng	call; nominate
摸索	mōsuǒ	fumble; grope
膜	mó	membrane
摩擦	mócā	rub; scrape
磨合	móhé	running-in
模范	mófàn	model
模式	móshì	mode; style
模型	móxíng	model
魔鬼	móguǐ	devil; demon
魔术	móshù	magic
抹杀	mǒshā	write off; obliterate
莫名其妙	mòmíng-qímiào	without rhyme or reason
默默	mòmò	silently
墨水儿	mòshuǐr	book learning
谋求	móuqiú	seek
模样	múyàng	appearance
母语	mǔyǔ	mother tongue
目睹	mùdǔ	witness; see with one's eyes
目光	mùguāng	eye
沐浴	mùyù	bath
拿手	náshǒu	good
纳闷儿	nàmènr	feel puzzle
耐用	nàiyòng	durable
南辕北辙	nányuánběizhé	have nothing in common
难得	nándé	rare
难堪	nánkān	embarrassed
难能可贵	nánnéngkěguì	praiseworthy for one's excellent conduct
恼火	nǎohuǒ	angry; take fire
内涵	nèihán	connotation
内幕	nèimù	insider
内在	nèizài	inherent
能量	néngliàng	energy
拟定	nǐdìng	study out
逆行	nìxíng	retrograde motion
年度	niándù	year
捏	niē	pinch
拧	níng	screw
凝固	nínggù	freezing
凝聚	níngjù	condensation
凝视	níngshì	gaze; stare
宁肯	nìngkěn	would rather than
宁愿	nìngyuàn	would rather
纽扣儿	niǔkòur	button
扭转	niǔzhuǎn	reverse
浓厚	nónghòu	dense
农历	nónglì	lunar calendar
奴隶	núlì	slave
挪	nuó	move; shift
虐待	nüèdài	to abuse
哦	o	oh
殴打	ōudǎ	beat up; hit; drub
偶像	ǒuxiàng	idol
呕吐	ǒutù	vomit
趴	pā	lie
排斥	páichì	exclude
排除	páichú	eliminate; remove; debar
排练	páiliàn	rehearse
排放	páifàng	discharge
徘徊	páihuái	wander
派别	pàibié	faction; group
派遣	pàiqiǎn	send; dispatch
攀登	pāndēng	climb
盘旋	pánxuán	convolute; hover
畔	pàn	bank, side
判决	pànjué	sentence
庞大	pángdà	enormous
抛弃	pāoqì	throw over; abandon; discard
泡沫	pàomò	bubble; froth
培育	péiyù	cultivation
配备	pèibèi	equipment
配偶	pèi'ǒu	consort; mate
配套	pèitào	form a complete set
盆地	péndì	basin
烹饪	pēngrèn	cooking
捧	pěng	holding
劈	pī	split
批发	pīfā	wholesale
批判	pīpàn	critique
疲惫	píbèi	tired out; exhausted
疲倦	píjuàn	tired
皮革	pígé	leather
屁股	pìgu	butt
譬如	pìrú	for example
偏差	piānchā	error; deviation
偏见	piānjiàn	prejudice
偏僻	piānpì	out of the way; devious; outlying
偏偏	piānpiān	just
片断	piànduàn	fragment
片刻	piànkè	a while; a moment
飘扬	piāoyáng	flying
漂浮	piāofú	float
撇	piē	cast aside
拼搏	pīnbó	go all out in work
拼命	pīnmìng	try my best
频繁	pínfán	frequently
频率	pínlǜ	frequency
贫乏	pínfá	poor; lacking indigent
贫困	pínkùn	poor
品尝	pǐncháng	taste
品德	pǐndé	character
品质	pǐnzhì	quality
品种	pǐnzhǒng	varieties
平凡	píngfán	ordinary
平面	píngmiàn	plane
平坦	píngtǎn	flat
平行	píngxíng	parallel
平原	píngyuán	plain
平庸	píngyōng	mediocre
评估	pínggū	evaluate
评论	pínglùn	comment
屏障	píngzhàng	wall; barrier
屏幕	píngmù	screen
坡	pō	slope
泼	pō	splash
颇	pō	quite; pretty
破例	pòlì	make an exception
迫不及待	pòbùjídài	unable to hold oneself back
迫害	pòhài	persecution
魄力	pòlì	courage
扑	pū	flutter
铺	pū	spread
普及	pǔjí	universal
朴实	pǔshí	simple
朴素	pǔsù	simple
瀑布	pùbù	waterfall
期望	qīwàng	expect
期限	qīxiàn	term
欺负	qīfu	bully
欺骗	qīpiàn	deception
凄凉	qīliáng	desolate
奇妙	qímiào	wonderful
旗袍	qípáo	cheongsam
旗帜	qízhì	flag
齐全	qíquán	complete; all ready
齐心协力	qíxīn-xiélì	make concerted efforts
歧视	qíshì	discrimination
起草	qǐcǎo	draft
起初	qǐchū	at first
起伏	qǐfú	undulate
起哄	qǐhòng	kick up a row
起码	qǐmǎ	minimum, at least
起源	qǐyuán	origin
启程	qǐchéng	set out
启示	qǐshì	enlightenment
启事	qǐshì	notice
启蒙	qǐméng	enlightenment
乞丐	qǐgài	beggar
企图	qǐtú	attempt
岂有此理	qǐyǒu-cǐlǐ	outrageous; preposterous
器材	qìcái	equipment
器官	qìguān	organ
气概	qìgài	spirit
气功	qìgōng	Qigong (a system of breathing technique)
气魄	qìpò	verve
气色	qìsè	look
气势	qìshì	vigor
气味	qìwèi	smell
气象	qìxiàng	meteorological
气压	qìyā	pressure
气质	qì zhì	temperament
迄今为止	qìjīn-wéizhǐ	so far
掐	qiā	pinch
恰当	qiàdàng	appropriate
恰到好处	qiàdàohǎochù	just right
恰巧	qiàqiǎo	just
洽谈	qiàtán	talk over with
牵	qiān	pull
牵扯	qiānchě	involved
牵制	qiānzhì	hold down
千方百计	qiānfāng-bǎijì	make every attempt
签署	qiānshǔ	sign; affix to; subscribe
迁就	qiānjiù	indulge
迁徙	qiānxǐ	migrate
谦逊	qiānxùn	modest
前景	qiánjǐng	prospect
前提	qiántí	precondition
潜力	qiánlì	potential
潜水	qiánshuǐ	diving
潜移默化	qiányí-mòhuà	influence character by environment
谴责	qiǎnzé	condemn; accuse; censure
强制	qiángzhì	force; oblige
抢劫	qiǎngjié	robbery
抢救	qiǎngjiù	rescue
强迫	qiǎngpò	force
桥梁	qiáoliáng	bridge
翘	qiào	to stick up; to rise on one end; to tilt
窍门	qiàomén	trick
锲而不舍	qiè'érbùshě	keep on carving
切实	qièshí	practical
亲密	qīnmì	close
亲热	qīnrè	affectionate
侵犯	qīnfàn	violation
侵略	qīnlüè	aggression
钦佩	qīnpèi	admire
勤俭	qínjiǎn	hardworking and thrifty
勤劳	qínláo	industrious
清澈	qīngchè	clear
清晨	qīngchén	early morning
清除	qīngchú	eliminate
清洁	qīngjié	clean
清理	qīnglǐ	clear
清晰	qīngxī	clear
清醒	qīngxǐng	sober
清真	qīngzhēn	Muslim
倾听	qīngtīng	listen for
倾向	qīngxiàng	inclination
倾斜	qīngxié	tilt
晴朗	qínglǎng	sunny
情报	qíngbào	intelligence
情节	qíngjié	plot
情理	qínglǐ	reason
情形	qíngxíng	situation
请柬	qǐngjiǎn	invitation card
请教	qǐngjiào	consult
请示	qǐngshì	for instructions
请帖	qǐngtiě	invitation
丘陵	qiūlíng	hill
区分	qūfēn	distinguish
区域	qūyù	region
屈服	qūfú	submit; give in; bend
曲折	qūzhé	tortuous
驱逐	qūzhú	drive out; banish
渠道	qúdào	channel
取缔	qǔdì	ban
曲子	qǔzi	tune
趣味	qùwèi	interest
圈套	quāntào	trap
全局	quánjú	overall situation
全力以赴	quánlìyǐfù	do one's level best; go all out
权衡	quánhéng	balance
权威	quánwēi	authority
拳头	quántou	fist
犬	quǎn	dog
缺口	quēkǒu	breach; gap
缺席	quēxí	absent
缺陷	quēxiàn	defect
瘸	qué	lame
确保	quèbǎo	ensure
确立	quèlì	establish
确切	quèqiè	exact; definite
确信	quèxìn	sure
群众	qúnzhòng	the masses
染	rǎn	dye
嚷	rǎng	shout
让步	ràngbù	give in; concede to
饶恕	ráoshù	forgive
扰乱	rǎoluàn	disturb
惹祸	rěhuò	trouble
热泪盈眶	rèlèi-yíngkuàng	one's eyes brimming with tears
热门	rèmén	hot
人道	réndào	humanity
人格	réngé	personality
人工	réngōng	artificial
人家	rénjiā	family
人间	rénjiān	human world
人士	rénshì	personage
人为	rénwéi	artificial
人性	rénxìng	human nature
人质	rénzhì	hostage
仁慈	réncí	kind
忍耐	rěnnài	exercise patience
忍受	rěnshòu	bear
认定	rèndìng	cognizance
认可	rènkě	certificate; ratify
任命	rènmìng	appointment
任性	rènxìng	wayward
任意	rènyì	arbitrarily
任重道远	rènzhòng-dàoyuǎn	take a heavy burden and embark on a long road
仍旧	réngjiù	still
日新月异	rìxīn-yuèyì	change rapidly
日益	rìyì	increasingly
融化	rónghuà	thaw
融洽	róngqià	harmonious
溶解	róngjiě	dissolve; melt
容貌	róngmào	appearance
容纳	róngnà	accommodate; contain; hold
容器	róngqì	container
容忍	róngrěn	tolerate
荣幸	róngxìng	to be honored
荣誉	róngyù	honor
揉	róu	knead
柔和	róuhé	soft
儒家	rújiā	confucianism
弱点	ruòdiǎn	weakness
若干	ruògān	a certain number or amount
撒谎	sāhuǎng	lie
散文	sǎnwén	prose
散布	sànbù	spread
散发	sànfā	emission
丧失	sàngshī	lose
骚扰	sāorǎo	harassment
嫂子	sǎozi	sister-in-law
刹车	shāchē	brake
啥	shá	what
筛选	shāixuǎn	screen
山脉	shānmài	mountain range
闪烁	shǎnshuò	twinkle
擅长	shàncháng	be good at
擅自	shànzì	do sth, without authorization
商标	shāngbiāo	trademark
伤脑筋	shāngnǎojīn	troublesome
上级	shàngjí	superior
上进	shàngjìn	desire to advance
上任	shàngrèn	take up an official post
上瘾	shàngyǐn	addiction
上游	shàngyóu	upper reaches
尚且	shàngqiě	yet
捎	shāo	take along sth. to sb
梢	shāo	end; tip
哨	shào	whistle
奢侈	shēchǐ	luxurious
舌头	shétou	tongue
设立	shèlì	establish
设想	shèxiǎng	imagine， conceive
设置	shèzhì	set up
社区	shèqū	community
涉及	shèjí	involve
摄氏度	shèshìdù	centigrade
深奥	shēn'ào	profound
深沉	shēnchén	deep
深情厚谊	shēnqíng-hòuyì	profound sentiments of friendship
申报	shēnbào	declare
绅士	shēnshì	gentleman
呻吟	shēnyín	moan
神经	shénjīng	nerve
神奇	shénqí	magical
神气	shénqì	air, expression
神圣	shénshèng	sacred
神态	shéntài	expression
神仙	shénxiān	supernatural being; immortal; fairy
审查	shěnchá	examination
审理	shěnlǐ	hear; try (law)
审美	shěnměi	taste
审判	shěnpàn	trial
渗透	shèntòu	infiltration
慎重	shènzhòng	careful
生存	shēngcún	existence
生机	shēngjī	vitality
生理	shēnglǐ	physiology
生疏	shēngshū	strange
生态	shēngtài	ecology
生物	shēngwù	biology
生肖	shēngxiào	Chinese zodiac
生效	shēngxiào	take effect
生锈	shēngxiù	rust
生育	shēngyù	birth
牲畜	shēngchù	livestock
声明	shēngmíng	statement
声势	shēngshì	impetus; momentum
声誉	shēngyù	reputation
省会	shěnghuì	provincial capital
盛产	shèngchǎn	abound in; teem with
盛开	shèngkāi	in full bloom
盛情	shèngqíng	boundless hospitality
盛行	shèngxíng	prevalence
胜负	shèngfù	victory and defeat
失事	shīshì	crash
失误	shīwù	an error
失踪	shīzōng	disappear
师范	shīfàn	normal school
施加	shījiā	exert
施展	shīzhǎn	display
尸体	shītǐ	body; cadaver
拾	shí	pick up, collect
十足	shízú	100 percent
识别	shíbié	distinguish
时常	shícháng	often
时而	shí'ér	from time to time; now … now …
时光	shíguāng	time
时机	shíjī	opportunity
时事	shíshì	current affairs
实惠	shíhuì	substantial
实力	shílì	strength
实施	shíshī	implementation
实事求是	shíshìqiúshì	seek truth from facts
实行	shíxíng	implement
实质	shízhì	essence
石油	shíyóu	petroleum
使命	shǐmìng	mission
是非	shìfēi	right and wrong; quarrel; dispute
试图	shìtú	try
试验	shìyàn	test
势必	shìbì	certainly will
势力	shìlì	power
世代	shìdài	generation
示范	shìfàn	lead the way; demonstrate
示威	shìwēi	demonstration
示意	shìyì	hint，signal
释放	shìfàng	release
事故	shìgù	accident
事迹	shìjì	deed， story
事件	shìjiàn	event
事态	shìtài	situation
事务	shìwù	affair
事项	shìxiàng	matter
事业	shìyè	career
适宜	shìyí	suitable
视力	shìlì	vision
视频	shìpín	video
视线	shìxiàn	sight
视野	shìyě	view
逝世	shìshì	death
收藏	shōucáng	collection
收缩	shōusuō	shrink
收益	shōuyì	income; profit
收音机	shōuyīnjī	radio
手法	shǒufǎ	technique
手势	shǒushì	gesture
手艺	shǒuyì	craft; handicraft
首要	shǒuyào	chief; principal
首饰	shǒushì	jewelry
守护	shǒuhù	guard
受罪	shòuzuì	suffer
授予	shòuyǔ	grant
书法	shūfǎ	calligraphy
书籍	shūjí	book
书记	shūjì	secretary
书面	shūmiàn	in written form
舒畅	shūchàng	happy, entirely free from worry
疏忽	shūhū	neglect
疏远	shūyuǎn	alienation
竖	shù	vertical
束	shù	beam
束缚	shùfù	shackles
树立	shùlì	establish
数额	shù'é	amount
耍	shuǎ	play
衰老	shuāilǎo	be senile, grow old
衰退	shuāituì	decline
率领	shuàilǐng	lead
涮火锅	shuànhuǒguō	have hotpot
双胞胎	shuāngbāotāi	horse hooves
爽快	shuǎngkuài	frank
水利	shuǐlì	water conservancy
水龙头	shuǐlóngtóu	water tap
水泥	shuǐní	cement
瞬间	shùnjiān	moment
司法	sīfǎ	judicial
司令	sīlìng	commander
思念	sīniàn	miss
思索	sīsuǒ	thinking
思维	sīwéi	thinking
私自	sīzì	secretly
斯文	sīwen	gentle
死亡	sǐwáng	death
四肢	sìzhī	limb
寺庙	sìmiào	temple
肆无忌惮	sìwújìdàn	act recklessly and care for nobody
饲养	sìyǎng	raise
耸	sǒng	shrug
艘	sōu	ship
苏醒	sūxǐng	wake up
俗话	súhuà	common saying
塑造	sùzào	model
素食	sùshí	vegetarian diet
素质	sùzhì	quality
诉讼	sùsòng	litigation
算数	suànshù	count
随即	suíjí	immediately
随意	suíyì	random; casual
岁月	suìyuè	years
隧道	suìdào	tunnel
损坏	sǔnhuài	damage
索性	suǒxìng	simply
索取	suǒqǔ	request
塌	tā	collapse
踏实	tāshi	earnest, steady and sure
塔	tǎ	tower
台风	táifēng	typhoon
太空	tàikōng	space
泰斗	tàidǒu	leading authority
瘫痪	tānhuàn	paralysis
贪婪	tānlán	greedy
贪污	tānwū	corruption
摊	tān	stall
弹性	tánxìng	elastic
坦白	tǎnbái	frank
探测	tàncè	probe
探索	tànsuǒ	explore
探讨	tàntǎo	discuss; probe into
探望	tànwàng	visit
叹气	tànqì	sigh
倘若	tǎngruò	if
掏	tāo	dig
滔滔不绝	tāotāobùjué	dash along; give it mouth
陶瓷	táocí	ceramics
陶醉	táozuì	revel in
淘汰	táotài	eliminate
讨好	tǎohǎo	to please someone
特长	tècháng	specialty
特定	tèdìng	given
特意	tèyì	specially
提拔	tíbá	elevate
提炼	tíliàn	abstract; refine
提示	tíshì	hint
提议	tíyì	proposal
题材	tícái	theme
体裁	tǐcái	genre
体积	tǐjī	volume
体谅	tǐliàng	understand; allow for
体面	tǐmiàn	respectable
体系	tǐxì	system
天才	tiāncái	genius
天伦之乐	tiānlúnzhīlè	the happiness of a family union
天然气	tiānránqì	natural gas
天生	tiānshēng	born
天堂	tiāntáng	heaven
天赋	tiānfù	talent
天文	tiānwén	astronomy
田径	tiánjìng	athletics
田野	tiányě	field
舔	tiǎn	lick
挑剔	tiāoti	fastidious
条款	tiáokuǎn	clause
条理	tiáolǐ	organized
条约	tiáoyuē	treaty
调和	tiáohé	reconcile
调剂	tiáojì	relief; temper
调节	tiáojié	adjust
调解	tiáojiě	mediate
调料	tiáoliào	seasoning
挑拨	tiǎobō	provoke
挑衅	tiǎoxìn	provocation
跳跃	tiàoyuè	jump
停泊	tíngbó	anchor
停顿	tíngdùn	pause
停滞	tíngzhì	stagnation
亭子	tíngzi	pavilion
挺拔	tǐngbá	tall and straight
通货膨胀	tōnghuòpéngzhàng	inflation
通俗	tōngsú	popular, common
通讯	tōngxùn	communication
通用	tōngyòng	currency
通缉	tōngjī	list as wanted
铜	tóng	copper
同胞	tóngbāo	compatriot
同志	tóngzhì	comrade
童话	tónghuà	fairy tale
统筹兼顾	tǒngchóujiāngù	take into consideration both needs of the state and the interests of the collectives
统计	tǒngjì	statistics
统统	tǒngtǒng	all
统治	tǒngzhì	rule
投机	tóujī	speculation
投票	tóupiào	vote
投诉	tóusù	complaint
投降	tóuxiáng	surrender
投掷	tóuzhì	throw
透露	tòulù	disclose
秃	tū	bald
突破	tūpò	breach
图案	tú'àn	pattern
徒弟	túdì	apprentice
途径	tújìng	channel
涂抹	túmǒ	apply
土壤	tǔrǎng	soil
吞吞吐吐	tūntūntǔtǔ	mutter and mumble
团结	tuánjié	unite
团体	tuántǐ	group
团圆	tuányuán	reunion
推测	tuīcè	speculation
推翻	tuīfān	overthrow
推理	tuīlǐ	reasoning
推论	tuīlùn	inference
推销	tuīxiāo	promote sales
脱离	tuōlí	be divorced from
拖延	tuōyán	delay
托运	tuōyùn	consignment
妥当	tuǒdang	appropriate
妥善	tuǒshàn	proper
妥协	tuǒxié	compromise
椭圆	tuǒyuán	ellipse
唾弃	tuòqì	cast aside
挖掘	wājué	excavate
娃娃	wáwa	a doll
瓦解	wǎjiě	collapse
哇	wa	wow
歪曲	wāiqū	distort
外表	wàibiǎo	appearance
外行	wàiháng	layman
外界	wàijiè	outside
外向	wàixiàng	extroversion
丸	wán	pill
完备	wánbèi	complete, maturity
完毕	wánbì	complete
玩弄	wánnòng	play with; flirt with
玩意儿	wányìr	thing
顽固	wángù	stubborn
顽强	wánqiáng	tenacious
挽回	wǎnhuí	to save
挽救	wǎnjiù	save
惋惜	wǎnxī	sorry
万分	wànfēn	extremely
往常	wǎngcháng	the usual
往事	wǎngshì	past
妄想	wàngxiǎng	mirage; deliria
微不足道	wēibùzúdào	not worth mentioning
微观	wēiguān	microcosmic
威风	wēifēng	prestige
威力	wēilì	power
威望	wēiwàng	prestige
威信	wēixìn	authority
危机	wēijī	crisis
违背	wéibèi	violation
维持	wéichí	maintain
维护	wéihù	protect
维生素	wéishēngsù	vitamin
唯独	wéidú	only
为难	wéinán	embarrassed
为期	wéiqī	by a definite date
委托	wěituō	entrust
委员	wěiyuán	committee member
伪造	wěizào	forge
喂（叹）	wèi	hey
未免	wèimiǎn	rather
畏惧	wèijù	fear
卫星	wèixīng	satellite
慰问	wèiwèn	condolences
蔚蓝	wèilán	azure
温带	wēndài	the temperate zone
温和	wēnhé	mild
文凭	wénpíng	diploma
文物	wénwù	cultural relic
文献	wénxiàn	literature
文雅	wényǎ	elegant
文艺	wényì	literature
问世	wènshì	the advent of
窝	wō	nest
乌黑	wūhēi	black
污蔑	wūmiè	slander
诬陷	wūxiàn	framed
无比	wúbǐ	extremely
无偿	wúcháng	for free
无耻	wúchǐ	shameless
